Name,Year,Theme,Quote
Napoleon Bonaparte,1804,Leadership,A leader is a dealer in hope.
Napoleon Bonaparte,1812,Leadership,"The battlefield is a scene of constant chaos. The winner will be the one who controls that chaos, both his own and the enemy's."
Napoleon Bonaparte,1800,Leadership,Courage isn't having the strength to go on—it is going on when you don't have strength.
Seneca,50,Leadership,A great leader never sets out to be a leader. He sets out to make a difference.
Seneca,65,Leadership,We suffer more in imagination than in reality.
Plato,-375,Leadership,The measure of a man is what he does with power.
Plato,-380,Leadership,Wise men speak because they have something to say; fools because they have to say something.
Marie Curie,1920,Leadership,Nothing in life is to be feared; it is only to be understood.
Ernest Shackleton,1914,Leadership,"Difficulties are just things to overcome, after all."
Ernest Shackleton,1915,Leadership,Optimism is true moral courage.
Teddy Roosevelt,1903,Leadership,People don’t care how much you know until they know how much you care.
Teddy Roosevelt,1910,Leadership,"The best executive is one who has sense enough to pick good men to do what he wants done, and self-restraint to keep from meddling while they do it."
Marcus Aurelius,170,Leadership,Waste no more time arguing about what a good man should be. Be one.
Marcus Aurelius,175,Leadership,"You have power over your mind—not outside events. Realize this, and you will find strength."
Napoleon Bonaparte,1805,Personal Growth,Impossible is a word to be found only in the dictionary of fools.
Seneca,55,Personal Growth,Luck is what happens when preparation meets opportunity.
Seneca,60,Personal Growth,It is not because things are difficult that we do not dare; it is because we do not dare that they are difficult.
Plato,-385,Personal Growth,The first and greatest victory is to conquer yourself.
Marie Curie,1911,Personal Growth,Be less curious about people and more curious about ideas.
Ernest Shackleton,1916,Personal Growth,Superhuman effort isn’t worth a damn unless it achieves results.
Teddy Roosevelt,1899,Personal Growth,"Do what you can, with what you have, where you are."
Marcus Aurelius,165,Personal Growth,The happiness of your life depends upon the quality of your thoughts.
Napoleon Bonaparte,1810,Focus,"Take time to deliberate, but when the time for action comes, stop thinking and go in."
Seneca,50,Focus,He who is everywhere is nowhere.
Plato,-375,Focus,"Better a little which is well done, than a great deal imperfectly."
Marie Curie,1910,Focus,One never notices what has been done; one can only see what remains to be done.
Ernest Shackleton,1914,Focus,A man must shape himself to a new mark directly the old one goes to ground.
Teddy Roosevelt,1900,Focus,"In any moment of decision, the best thing you can do is the right thing; the next best thing is the wrong thing; and the worst thing you can do is nothing."
Marcus Aurelius,170,Focus,Concentrate every minute on doing what’s in front of you with precise and genuine seriousness.
Napoleon Bonaparte,1807,Success,Victory belongs to the most persevering.
Seneca,65,Success,He who is brave is free.
Plato,-370,Success,Courage is knowing what not to fear.
Marie Curie,1922,Success,One must do some work seriously and must be independent and not merely amuse oneself in life.
Ernest Shackleton,1915,Success,"Difficulties are just things to overcome, after all."
Teddy Roosevelt,1905,Success,"It is hard to fail, but it is worse never to have tried to succeed."
Marcus Aurelius,175,Success,The only wealth which you will keep forever is the wealth you have given away.
