Name,Quote,Theme
Seneca,"The greatest leader is not necessarily the one who does the greatest things. He is the one that gets the people to do the greatest things.",Leadership
Aristotle,"The roots of education are bitter, but the fruit is sweet.",Growth
Marcus Aurelius,"The best revenge is to be unlike him who performed the injury.",Leadership
Winston Churchill,"Success is not final, failure is not fatal: It is the courage to continue that counts.",Growth
Teddy Roosevelt,"Do what you can, with what you have, where you are.",Focus
Marie Curie,"Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less.",Growth
Franklin D. Roosevelt,"The only limit to our realization of tomorrow is our doubts of today.",Growth
Eleanor Roosevelt,"The future belongs to those who believe in the beauty of their dreams.",Leadership
Mark Twain,"The secret of getting ahead is getting started.",Focus
Benjamin Franklin,"An investment in knowledge pays the best interest.",Growth
Nelson Mandela,"It always seems impossible until it's done.",Growth
Maya Angelou,"You may not control all the events that happen to you, but you can decide not to be reduced by them.",Focus
Albert Einstein,"Life is like riding a bicycle. To keep your balance, you must keep moving.",Focus
Abraham Lincoln,"The best way to predict your future is to create it.",Leadership
Confucius,"It does not matter how slowly you go as long as you do not stop.",Growth
Thomas Jefferson,"I find that the harder I work, the more luck I seem to have.",Focus
Viktor Frankl,"When we are no longer able to change a situation, we are challenged to change ourselves.",Growth
John F. Kennedy,"Leadership and learning are indispensable to each other.",Leadership
Rosa Parks,"I have learned over the years that when one's mind is made up, this diminishes fear.",Focus
Leonardo da Vinci,"Learning never exhausts the mind.",Growth
Margaret Thatcher,"You may have to fight a battle more than once to win it.",Leadership
Ralph Waldo Emerson,"Do not go where the path may lead, go instead where there is no path and leave a trail.",Leadership
Plato,"Courage is knowing what not to fear.",Focus
Epictetus,"Wealth consists not in having great possessions, but in having few wants.",Focus
Niccolò Machiavelli,"It is better to be feared than loved, if you cannot be both.",Leadership
Seneca,"Luck is what happens when preparation meets opportunity.",Focus
Aristotle,"We are what we repeatedly do. Excellence, then, is not an act, but a habit.",Growth
Marcus Aurelius,"You have power over your mind—not outside events. Realize this, and you will find strength.",Focus
Winston Churchill,"The price of greatness is responsibility.",Leadership
Teddy Roosevelt,"Keep your eyes on the stars, and your feet on the ground.",Focus
Marie Curie,"Be less curious about people and more curious about ideas.",Growth
Franklin D. Roosevelt,"Happiness lies in the joy of achievement and the thrill of creative effort.",Growth
Eleanor Roosevelt,"Great minds discuss ideas; average minds discuss events; small minds discuss people.",Leadership
Mark Twain,"Twenty years from now you will be more disappointed by the things that you didn’t do than by the ones you did do.",Growth
Benjamin Franklin,"Well done is better than well said.",Focus
Nelson Mandela,"The greatest glory in living lies not in never falling, but in rising every time we fall.",Growth
Maya Angelou,"If you don't like something, change it. If you can't change it, change your attitude.",Focus
Albert Einstein,"Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.",Growth
Abraham Lincoln,"I am not bound to win, but I am bound to be true. I am not bound to succeed, but I am bound to live up to what light I have.",Leadership
Confucius,"The man who moves a mountain begins by carrying away small stones.",Focus
Thomas Jefferson,"Determine never to be idle. No person will have occasion to complain of the want of time who never loses any.",Focus
Viktor Frankl,"Everything can be taken from a man but one thing: the last of the human freedoms—to choose one’s attitude in any given set of circumstances.",Growth
John F. Kennedy,"Efforts and courage are not enough without purpose and direction.",Leadership
Rosa Parks,"Each person must live their life as a model for others.",Leadership
Leonardo da Vinci,"Simplicity is the ultimate sophistication.",Focus
Margaret Thatcher,"Disciplining yourself to do what you know is right and important, although difficult, is the highroad to pride, self-esteem, and personal satisfaction.",Focus
Ralph Waldo Emerson,"What lies behind us and what lies before us are tiny matters compared to what lies within us.",Growth
Plato,"The first and greatest victory is to conquer yourself.",Growth
Epictetus,"It's not what happens to you, but how you react to it that matters.",Focus
