Name,Year,Theme,Quote
"Napoleon Bonaparte",,"Leadership","Impossible is a word to be found only in the dictionary of fools."
"Napoleon Bonaparte",,"Success","Victory belongs to the most persevering."
"Napoleon Bonaparte",,"Leadership","A leader is a dealer in hope."
"Napoleon Bonaparte",,"Focus","Take time to deliberate, but when the time for action comes, stop thinking and go in."
"Napoleon Bonaparte",,"Leadership","The battlefield is a scene of constant chaos. The winner will be the one who controls that chaos, both his own and the enemies."
"Napoleon Bonaparte",,"Personal Growth","Courage isn't having the strength to go on - it is going on when you don't have strength."
"Napoleon Bonaparte",,"Leadership","If you want a thing done well, do it yourself."
"Napoleon Bonaparte",,"Success","Never interrupt your enemy when he is making a mistake."
"Napoleon Bonaparte",,"Focus","The best way to keep one's word is not to give it."
"Napoleon Bonaparte",,"Personal Growth","A true man hates no one."
"Napoleon Bonaparte",,"Personal Growth","The fool has one great advantage over a man of sense; he is always satisfied with himself."
"Napoleon Bonaparte",,"Success","The greatest danger occurs at the moment of victory."
"Napoleon Bonaparte",,"Leadership","Men are moved by two levers only: fear and self-interest."
"Napoleon Bonaparte",,"Success","The surest way to remain poor is to be an honest man."
"Napoleon Bonaparte",,"Success","He who fears being conquered is sure of defeat."
"Napoleon Bonaparte",,"Leadership","The world suffers a lot. Not because the violence of bad people. But because of the silence of the good people."
"Napoleon Bonaparte",,"Success","Glory is fleeting, but obscurity is forever."
"Napoleon Bonaparte",,"Personal Growth","History is a set of lies agreed upon."
"Napoleon Bonaparte",,"Leadership","A soldier will fight long and hard for a bit of colored ribbon."
"Napoleon Bonaparte",,"Personal Growth","The first virtue in a soldier is endurance of fatigue; courage is only the second virtue."
"Seneca",,"Success","Luck is what happens when preparation meets opportunity."
"Seneca",,"Personal Growth","It is not because things are difficult that we do not dare; it is because we do not dare that they are difficult."
"Seneca",,"Personal Growth","As long as you live, keep learning how to live."
"Seneca",,"Focus","We suffer more often in imagination than in reality."
"Seneca",,"Personal Growth","He who is brave is free."
"Seneca",,"Personal Growth","No man was ever wise by chance."
"Seneca",,"Focus","It is the power of the mind to be unconquerable."
